Threads,Time1,Speed1,Time2,Speed2
1,"31,9345",1,"31,8839",1
2,"17,0473","1,87328","16,6043","1,92023"
3,"11,066","2,88581","10,9772","2,90455"
4,"8,24456","3,8734","8,18169","3,89699"
5,"6,58778","4,84753","6,59464","4,83483"
6,"5,60403","5,69848","5,60273","5,69079"
7,"4,96045","6,43782","5,5737","5,72043"
8,"4,51688","7,07003","4,1239","7,73151"
9,"3,95607","8,07227","4,48933","7,10216"
10,"3,71568","8,59452","3,50434","9,09843"
11,"3,17527","10,0572","3,30614","9,64386"
12,"2,76166","11,5635","3,20519","9,9476"
13,"2,70416","11,8094","2,9228","10,9087"
14,"2,41664","13,2144","2,36548","13,4789"
15,"2,30698","13,8426","2,53707","12,5672"
16,"2,38496","13,39","2,20243","14,4767"
17,"2,23089","14,3147","2,11786","15,0548"
18,"2,08093","15,3463","1,96847","16,1973"
19,"2,00161","15,9544","1,94876","16,3612"
20,"1,80459","17,6963","1,88394","16,9241"
21,"1,80736","17,6692","1,75008","18,2186"
22,"1,58604","20,1347","1,64867","19,3392"
23,"1,81461","17,5985","1,6218","19,6596"
24,"1,65698","19,2727","1,62333","19,6411"
25,"1,59053","20,0779","1,67354","19,0518"
26,"1,38339","23,0843","1,60529","19,8618"
27,"1,49357","21,3813","1,46527","21,7598"
28,"1,54662","20,6479","1,53264","20,8034"
29,"1,44442","22,1088","1,53336","20,7936"
30,"1,32554","24,0917","1,27917","24,9254"
31,"1,30479","24,4749","1,23243","25,8707"
32,"1,34122","23,8101","1,26983","25,1089"
33,"1,38233","23,102","1,14345","27,884"
34,"1,10607","28,872","1,13589","28,0695"
35,"1,15155","27,7318","1,10445","28,8686"
36,"1,22184","26,1363","1,11495","28,5968"
37,"1,21364","26,313","1,15352","27,6406"
38,"1,3086","24,4035","1,16835","27,2897"
39,"1,44312","22,1288","1,49218","21,3673"
40,"1,65223","19,3281","1,64336","19,4016"
41,"1,63754","19,5015","1,64363","19,3985"
42,"1,60301","19,9215","1,58358","20,1341"
43,"1,61221","19,8079","1,57019","20,3058"
44,"1,6228","19,6787","1,6094","19,8111"
45,"1,56135","20,4531","1,52386","20,9231"
46,"1,49435","21,3702","1,49563","21,3181"
47,"1,49139","21,4125","1,52692","20,8813"
48,"1,44596","22,0854","1,44267","22,1007"
49,"1,41648","22,545","1,38781","22,9744"
50,"1,42485","22,4126","1,42881","22,3151"
51,"1,39881","22,8297","1,35788","23,4807"
52,"1,36597","23,3785","1,35683","23,4989"
53,"1,33232","23,9691","1,30451","24,4414"
54,"1,41344","22,5934","1,27463","25,0144"
55,"1,3303","24,0054","1,32827","24,0041"
56,"1,37535","23,2191","1,33326","23,9143"
57,"1,40533","22,7239","1,37527","23,1837"
58,"1,28184","24,9131","1,25344","25,4371"
59,"1,26832","25,1785","1,23053","25,9107"
60,"1,36607","23,3768","1,42315","22,4038"
61,"2,00576","15,9214","2,39913","13,2898"
62,"1,32255","24,1461","1,27427","25,0213"
63,"1,15354","27,6839","1,12681","28,2957"
64,"1,14055","27,9992","1,10397","28,8811"
65,"1,11633","28,6066","1,0873","29,3241"
66,"1,09676","29,117","1,06986","29,8021"
67,"1,08129","29,5338","1,13407","28,1145"
68,"1,08093","29,5435","1,04525","30,5036"
69,"1,06507","29,9835","1,03908","30,6848"
70,"1,04942","30,4306","1,02109","31,2255"
71,"1,08252","29,5003","1,01768","31,3299"
72,"1,02419","31,1802","1,00441","31,744"
73,"1,01239","31,5438","1,0027","31,7981"
74,"1,06227","30,0626","1,0293","30,9762"
75,"1,01707","31,3984","1,12832","28,2579"
76,"1,05329","30,3189","0,962066","33,1411"
77,"0,981841","32,5251","0,983971","32,4033"
78,"1,12238","28,4526","1,08044","29,5102"
79,"1,9335","16,5164","1,84066","17,322"
80,"1,76766","18,066","1,82673","17,4541"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
    Вывод: время и коэффициент ускорения с увеличением количества потоков,,,,
"изменяется приблизительно одинаково для первого и второго варианта,",,,,
но второй вариант работает немного быстрее.,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
